,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
3/26/2018,2619.35,2661.36,2601.81,2658.55,2.72%,0.0512%,0.0221%,0.0341%,1.19%,1.59%,-0.67%,1.49%,0.02%,,,,,,,,
3/27/2018,2667.57,2674.78,2596.12,2612.62,-1.73%,0.0891%,0.0433%,0.0613%,0.34%,0.27%,-2.71%,-2.08%,0.02%,,,,,,,,
3/28/2018,2611.3,2632.65,2593.06,2605,-0.29%,0.0230%,0.0006%,0.0117%,-0.05%,0.81%,-0.70%,-0.24%,0.01%,,,,,,,,
3/29/2018,2614.41,2659.07,2609.72,2640.87,1.38%,0.0351%,0.0101%,0.0215%,0.36%,1.69%,-0.18%,1.01%,0.01%,,,,,,,,
4/2/2018,2633.45,2638.3,2553.8,2581.88,-2.23%,0.1060%,0.0391%,0.0681%,-0.28%,0.18%,-3.07%,-1.98%,0.04%,,,,,,,,
4/3/2018,2592.17,2619.14,2575.49,2614.45,1.26%,0.0282%,0.0073%,0.0170%,0.40%,1.04%,-0.65%,0.86%,0.01%,,,,,,,,
4/4/2018,2584.04,2649.86,2573.61,2644.69,1.16%,0.0852%,0.0538%,0.0634%,-1.17%,2.52%,-0.40%,2.32%,0.02%,,,,,,,,
4/5/2018,2657.36,2672.08,2649.58,2662.84,0.69%,0.0072%,0.0004%,0.0037%,0.48%,0.55%,-0.29%,0.21%,0.00%,,,,,,,,
4/6/2018,2645.82,2656.88,2586.27,2604.47,-2.19%,0.0726%,0.0248%,0.0459%,-0.64%,0.42%,-2.28%,-1.58%,0.02%,,,,,,,,
4/9/2018,2617.18,2653.55,2610.79,2613.16,0.33%,0.0264%,0.0002%,0.0133%,0.49%,1.38%,-0.24%,-0.15%,0.02%,,,,,,,,
4/10/2018,2638.41,2665.45,2635.78,2656.87,1.67%,0.0125%,0.0049%,0.0081%,0.96%,1.02%,-0.10%,0.70%,0.00%,,,,,,,,
4/11/2018,2643.89,2661.43,2639.25,2642.19,-0.55%,0.0070%,0.0000%,0.0035%,-0.49%,0.66%,-0.18%,-0.06%,0.00%,,,,,,,,
4/12/2018,2653.83,2674.72,2653.83,2663.99,0.83%,0.0061%,0.0015%,0.0036%,0.44%,0.78%,0.00%,0.38%,0.00%,,,,,,,,
4/13/2018,2676.9,2680.26,2645.05,2656.3,-0.29%,0.0175%,0.0060%,0.0110%,0.48%,0.13%,-1.20%,-0.77%,0.01%,,,,,,,,
4/16/2018,2670.1,2686.49,2665.16,2677.84,0.81%,0.0064%,0.0008%,0.0035%,0.52%,0.61%,-0.19%,0.29%,0.00%,,,,,,,,
4/17/2018,2692.74,2713.34,2692.05,2706.39,1.07%,0.0062%,0.0026%,0.0041%,0.55%,0.76%,-0.03%,0.51%,0.00%,,,,,,,,
4/18/2018,2710.11,2717.49,2703.63,2708.64,0.08%,0.0026%,0.0000%,0.0013%,0.14%,0.27%,-0.24%,-0.05%,0.00%,,,,,,,,
4/19/2018,2701.16,2702.84,2681.9,2693.13,-0.57%,0.0060%,0.0009%,0.0034%,-0.28%,0.06%,-0.72%,-0.30%,0.00%,,,,,,,,
4/20/2018,2692.56,2693.94,2660.61,2670.14,-0.85%,0.0155%,0.0070%,0.0105%,-0.02%,0.05%,-1.19%,-0.84%,0.00%,,,,,,,,
4/23/2018,2675.4,2682.86,2657.99,2670.29,0.01%,0.0087%,0.0004%,0.0045%,0.20%,0.28%,-0.65%,-0.19%,0.00%,,,,,,,,
4/24/2018,2680.8,2683.55,2617.32,2634.56,-1.34%,0.0624%,0.0303%,0.0429%,0.39%,0.10%,-2.40%,-1.74%,0.02%,,,,,,,,
4/25/2018,2634.92,2645.3,2612.67,2639.4,0.18%,0.0154%,0.0003%,0.0078%,0.01%,0.39%,-0.85%,0.17%,0.01%,,,,,,,,
4/26/2018,2651.65,2676.48,2647.16,2666.94,1.04%,0.0121%,0.0033%,0.0073%,0.46%,0.93%,-0.17%,0.57%,0.00%,,,,,,,,
4/27/2018,2675.47,2677.35,2659.01,2669.91,0.11%,0.0047%,0.0004%,0.0025%,0.32%,0.07%,-0.62%,-0.21%,0.00%,,,,,,,,
4/30/2018,2675.05,2682.92,2648.04,2648.05,-0.82%,0.0171%,0.0103%,0.0125%,0.19%,0.29%,-1.01%,-1.01%,0.00%,,,,,,,,
5/1/2018,2643.64,2655.27,2625.41,2654.8,0.25%,0.0128%,0.0018%,0.0071%,-0.17%,0.44%,-0.69%,0.42%,0.01%,,,,,,,,
5/2/2018,2654.24,2660.87,2631.7,2635.67,-0.72%,0.0122%,0.0049%,0.0080%,-0.02%,0.25%,-0.85%,-0.70%,0.00%,,,,,,,,
5/3/2018,2628.08,2637.14,2594.62,2629.73,-0.23%,0.0264%,0.0000%,0.0132%,-0.29%,0.34%,-1.28%,0.06%,0.02%,,,,,,,,
5/4/2018,2621.45,2670.93,2615.32,2663.42,1.28%,0.0443%,0.0252%,0.0319%,-0.32%,1.87%,-0.23%,1.59%,0.01%,,,,,,,,
5/7/2018,2669.36,2683.35,2664.7,2672.63,0.35%,0.0049%,0.0001%,0.0025%,0.22%,0.52%,-0.17%,0.12%,0.00%,,,,,,,,
5/8/2018,2670.26,2676.34,2655.2,2671.92,-0.03%,0.0063%,0.0000%,0.0032%,-0.09%,0.23%,-0.57%,0.06%,0.00%,,,,,,,,
5/9/2018,2678.12,2701.27,2674.14,2697.79,0.97%,0.0102%,0.0054%,0.0072%,0.23%,0.86%,-0.15%,0.73%,0.00%,,,,,,,,
5/10/2018,2705.02,2726.11,2704.54,2723.07,0.94%,0.0063%,0.0044%,0.0049%,0.27%,0.78%,-0.02%,0.67%,0.00%,,,,,,,,
5/11/2018,2722.7,2732.86,2717.45,2727.72,0.17%,0.0032%,0.0003%,0.0017%,-0.01%,0.37%,-0.19%,0.18%,0.00%,,,,,,,,
5/14/2018,2733.37,2742.1,2725.47,2730.13,0.09%,0.0037%,0.0001%,0.0019%,0.21%,0.32%,-0.29%,-0.12%,0.00%,,,,,,,,
5/15/2018,2718.59,2718.59,2701.91,2711.45,-0.68%,0.0038%,0.0007%,0.0022%,-0.42%,0.00%,-0.62%,-0.26%,0.00%,,,,,,,,
5/16/2018,2712.62,2727.76,2712.17,2722.46,0.41%,0.0033%,0.0013%,0.0021%,0.04%,0.56%,-0.02%,0.36%,0.00%,,,,,,,,
5/17/2018,2719.71,2731.96,2711.36,2720.13,-0.09%,0.0057%,0.0000%,0.0029%,-0.10%,0.45%,-0.31%,0.02%,0.00%,,,,,,,,
5/18/2018,2717.35,2719.5,2709.18,2712.97,-0.26%,0.0014%,0.0003%,0.0008%,-0.10%,0.08%,-0.30%,-0.16%,0.00%,,,,,,,,
5/21/2018,2725.95,2739.19,2725.7,2733.01,0.74%,0.0024%,0.0007%,0.0015%,0.48%,0.48%,-0.01%,0.26%,0.00%,,,,,,,,
5/22/2018,2738.34,2742.24,2721.88,2724.44,-0.31%,0.0056%,0.0026%,0.0038%,0.19%,0.14%,-0.60%,-0.51%,0.00%,,,,,,,,
5/23/2018,2713.98,2733.33,2709.54,2733.29,0.32%,0.0076%,0.0050%,0.0058%,-0.38%,0.71%,-0.16%,0.71%,0.00%,,,,,,,,
5/24/2018,2730.94,2731.97,2707.38,2727.76,-0.20%,0.0082%,0.0001%,0.0041%,-0.09%,0.04%,-0.87%,-0.12%,0.01%,,,,,,,,
5/25/2018,2723.6,2727.36,2714.99,2721.33,-0.24%,0.0021%,0.0001%,0.0011%,-0.15%,0.14%,-0.32%,-0.08%,0.00%,,,,,,,,
5/29/2018,2705.11,2710.67,2676.81,2689.86,-1.16%,0.0158%,0.0032%,0.0091%,-0.60%,0.21%,-1.05%,-0.57%,0.01%,,,,,,,,
5/30/2018,2702.43,2729.34,2702.43,2724.01,1.27%,0.0098%,0.0063%,0.0074%,0.47%,0.99%,0.00%,0.80%,0.00%,,,,,,,,
5/31/2018,2720.98,2722.5,2700.68,2705.27,-0.69%,0.0065%,0.0034%,0.0045%,-0.11%,0.06%,-0.75%,-0.58%,0.00%,,,,,,,,
6/1/2018,2718.7,2736.93,2718.7,2734.62,1.08%,0.0045%,0.0034%,0.0036%,0.50%,0.67%,0.00%,0.58%,0.00%,,,,,,,,
6/4/2018,2741.67,2749.16,2740.54,2746.87,0.45%,0.0010%,0.0004%,0.0006%,0.26%,0.27%,-0.04%,0.19%,0.00%,,,,,,,,
6/5/2018,2748.46,2752.61,2739.51,2748.8,0.07%,0.0023%,0.0000%,0.0011%,0.06%,0.15%,-0.33%,0.01%,0.00%,,,,,,,,
6/6/2018,2753.25,2772.39,2748.46,2772.35,0.86%,0.0075%,0.0048%,0.0056%,0.16%,0.69%,-0.17%,0.69%,0.00%,,,,,,,,
6/7/2018,2774.84,2779.9,2760.16,2770.37,-0.07%,0.0051%,0.0003%,0.0026%,0.09%,0.18%,-0.53%,-0.16%,0.00%,,,,,,,,
6/8/2018,2765.84,2779.39,2763.59,2779.03,0.31%,0.0033%,0.0023%,0.0025%,-0.16%,0.49%,-0.08%,0.48%,0.00%,,,,,,,,
6/11/2018,2780.18,2790.21,2780.17,2782,0.11%,0.0013%,0.0000%,0.0007%,0.04%,0.36%,0.00%,0.07%,0.00%,,,,,,,,
6/12/2018,2785.6,2789.8,2778.78,2786.85,0.17%,0.0016%,0.0000%,0.0008%,0.13%,0.15%,-0.25%,0.04%,0.00%,,,,,,,,
6/13/2018,2787.94,2791.47,2774.65,2775.63,-0.40%,0.0037%,0.0020%,0.0026%,0.04%,0.13%,-0.48%,-0.44%,0.00%,,,,,,,,
6/14/2018,2783.21,2789.06,2776.52,2782.49,0.25%,0.0020%,0.0000%,0.0010%,0.27%,0.21%,-0.24%,-0.03%,0.00%,,,,,,,,
6/15/2018,2777.78,2782.81,2761.73,2779.66,-0.10%,0.0058%,0.0000%,0.0029%,-0.17%,0.18%,-0.58%,0.07%,0.00%,,,,,,,,
6/18/2018,2765.79,2774.99,2757.12,2773.75,-0.21%,0.0042%,0.0008%,0.0024%,-0.50%,0.33%,-0.31%,0.29%,0.00%,,,,,,,,
6/19/2018,2752.01,2765.05,2743.19,2762.59,-0.40%,0.0063%,0.0015%,0.0037%,-0.79%,0.47%,-0.32%,0.38%,0.00%,,,,,,,,
6/20/2018,2769.73,2774.86,2763.91,2767.32,0.17%,0.0016%,0.0001%,0.0008%,0.26%,0.19%,-0.21%,-0.09%,0.00%,,,,,,,,
6/21/2018,2769.28,2769.28,2744.39,2749.76,-0.63%,0.0082%,0.0050%,0.0060%,0.07%,0.00%,-0.90%,-0.71%,0.00%,,,,,,,,
6/22/2018,2760.79,2764.17,2752.68,2754.88,0.19%,0.0017%,0.0005%,0.0010%,0.40%,0.12%,-0.29%,-0.21%,0.00%,,,,,,,,
6/25/2018,2742.94,2742.94,2698.67,2717.07,-1.37%,0.0265%,0.0090%,0.0167%,-0.43%,0.00%,-1.63%,-0.95%,0.01%,,,,,,,,
6/26/2018,2722.12,2732.91,2715.6,2723.06,0.22%,0.0040%,0.0000%,0.0020%,0.19%,0.40%,-0.24%,0.03%,0.00%,,,,,,,,
6/27/2018,2728.45,2746.09,2699.38,2699.63,-0.86%,0.0294%,0.0113%,0.0191%,0.20%,0.64%,-1.07%,-1.06%,0.01%,,,,,,,,
6/28/2018,2698.69,2724.34,2691.99,2716.31,0.62%,0.0143%,0.0042%,0.0088%,-0.03%,0.95%,-0.25%,0.65%,0.01%,,,,,,,,
6/29/2018,2727.13,2743.26,2718.03,2718.37,0.08%,0.0085%,0.0010%,0.0047%,0.40%,0.59%,-0.33%,-0.32%,0.01%,,,,,,,,
7/2/2018,2704.95,2727.26,2698.95,2726.71,0.31%,0.0109%,0.0064%,0.0079%,-0.49%,0.82%,-0.22%,0.80%,0.00%,,,,,,,,
7/3/2018,2733.27,2736.58,2711.16,2713.22,-0.49%,0.0087%,0.0054%,0.0064%,0.24%,0.12%,-0.81%,-0.74%,0.00%,,,,,,,,
7/5/2018,2724.19,2737.83,2716.02,2736.61,0.86%,0.0064%,0.0021%,0.0040%,0.40%,0.50%,-0.30%,0.45%,0.00%,,,,,,,,
7/6/2018,2737.68,2764.41,2733.52,2759.82,0.85%,0.0126%,0.0065%,0.0088%,0.04%,0.97%,-0.15%,0.81%,0.00%,,,,,,,,
7/9/2018,2768.51,2784.65,2768.51,2784.17,0.88%,0.0034%,0.0032%,0.0029%,0.31%,0.58%,0.00%,0.56%,0.00%,,,,,,,,
7/10/2018,2788.56,2795.58,2786.24,2793.84,0.35%,0.0011%,0.0004%,0.0007%,0.16%,0.25%,-0.08%,0.19%,0.00%,,,,,,,,
7/11/2018,2779.82,2785.91,2770.77,2774.02,-0.71%,0.0030%,0.0004%,0.0017%,-0.50%,0.22%,-0.33%,-0.21%,0.00%,,,,,,,,
7/12/2018,2783.14,2799.22,2781.53,2798.29,0.87%,0.0040%,0.0029%,0.0031%,0.33%,0.58%,-0.06%,0.54%,0.00%,,,,,,,,
7/13/2018,2796.93,2804.53,2791.69,2801.31,0.11%,0.0021%,0.0002%,0.0011%,-0.05%,0.27%,-0.19%,0.16%,0.00%,,,,,,,,
7/16/2018,2801.43,2803.71,2793.39,2798.43,-0.10%,0.0014%,0.0001%,0.0007%,0.00%,0.08%,-0.29%,-0.11%,0.00%,,,,,,,,
7/17/2018,2789.34,2814.19,2789.24,2809.55,0.40%,0.0079%,0.0052%,0.0060%,-0.33%,0.89%,0.00%,0.72%,0.00%,,,,,,,,
7/18/2018,2811.35,2816.76,2805.89,2815.62,0.22%,0.0015%,0.0002%,0.0008%,0.06%,0.19%,-0.19%,0.15%,0.00%,,,,,,,,
7/19/2018,2809.37,2812.05,2799.77,2804.49,-0.40%,0.0019%,0.0003%,0.0011%,-0.22%,0.10%,-0.34%,-0.17%,0.00%,,,,,,,,
7/20/2018,2804.55,2809.7,2800.01,2801.83,-0.09%,0.0012%,0.0001%,0.0006%,0.00%,0.18%,-0.16%,-0.10%,0.00%,,,,,,,,
7/23/2018,2799.17,2808.61,2795.14,2806.98,0.18%,0.0023%,0.0008%,0.0015%,-0.09%,0.34%,-0.14%,0.28%,0.00%,,,,,,,,
7/24/2018,2820.68,2829.99,2811.12,2820.4,0.48%,0.0045%,0.0000%,0.0022%,0.49%,0.33%,-0.34%,-0.01%,0.00%,,,,,,,,
7/25/2018,2817.73,2848.03,2817.73,2846.07,0.91%,0.0114%,0.0100%,0.0096%,-0.09%,1.07%,0.00%,1.00%,0.00%,,,,,,,,
7/26/2018,2835.49,2845.57,2835.26,2837.44,-0.30%,0.0013%,0.0000%,0.0007%,-0.37%,0.35%,-0.01%,0.07%,0.00%,,,,,,,,
7/27/2018,2842.35,2843.17,2808.34,2818.82,-0.66%,0.0152%,0.0069%,0.0103%,0.17%,0.03%,-1.20%,-0.83%,0.00%,,,,,,,,
7/30/2018,2819,2821.74,2798.11,2802.6,-0.58%,0.0071%,0.0034%,0.0049%,0.01%,0.10%,-0.74%,-0.58%,0.00%,,,,,,,,
7/31/2018,2809.73,2824.46,2808.06,2816.29,0.49%,0.0034%,0.0005%,0.0019%,0.25%,0.52%,-0.06%,0.23%,0.00%,,,,,,,,
8/1/2018,2821.17,2825.83,2805.85,2813.36,-0.10%,0.0050%,0.0008%,0.0028%,0.17%,0.17%,-0.54%,-0.28%,0.00%,,,,,,,,
8/2/2018,2800.48,2829.91,2796.34,2827.22,0.49%,0.0142%,0.0090%,0.0106%,-0.46%,1.05%,-0.15%,0.95%,0.00%,,,,,,,,
8/3/2018,2829.62,2840.38,2827.37,2840.35,0.46%,0.0021%,0.0014%,0.0016%,0.08%,0.38%,-0.08%,0.38%,0.00%,,,,,,,,
8/6/2018,2840.29,2853.29,2835.98,2850.4,0.35%,0.0037%,0.0013%,0.0023%,0.00%,0.46%,-0.15%,0.36%,0.00%,,,,,,,,
8/7/2018,2855.92,2863.43,2855.92,2858.45,0.28%,0.0007%,0.0001%,0.0004%,0.19%,0.26%,0.00%,0.09%,0.00%,,,,,,,,
8/8/2018,2856.79,2862.44,2853.09,2857.7,-0.03%,0.0011%,0.0000%,0.0005%,-0.06%,0.20%,-0.13%,0.03%,0.00%,,,,,,,,
8/9/2018,2857.19,2862.48,2851.98,2853.58,-0.14%,0.0014%,0.0002%,0.0007%,-0.02%,0.18%,-0.18%,-0.13%,0.00%,,,,,,,,
8/10/2018,2839.64,2842.2,2825.81,2833.28,-0.71%,0.0033%,0.0005%,0.0019%,-0.49%,0.09%,-0.49%,-0.22%,0.00%,,,,,,,,
8/13/2018,2835.46,2843.4,2819.88,2821.93,-0.40%,0.0069%,0.0023%,0.0043%,0.08%,0.28%,-0.55%,-0.48%,0.00%,,,,,,,,
8/14/2018,2827.88,2843.11,2826.58,2839.96,0.64%,0.0034%,0.0018%,0.0024%,0.21%,0.54%,-0.05%,0.43%,0.00%,,,,,,,,
8/15/2018,2827.95,2827.95,2802.49,2818.37,-0.76%,0.0082%,0.0012%,0.0045%,-0.42%,0.00%,-0.90%,-0.34%,0.01%,,,,,,,,
8/16/2018,2831.44,2850.49,2831.44,2840.69,0.79%,0.0045%,0.0011%,0.0027%,0.46%,0.67%,0.00%,0.33%,0.00%,,,,,,,,
8/17/2018,2838.32,2855.63,2833.73,2850.13,0.33%,0.0059%,0.0017%,0.0036%,-0.08%,0.61%,-0.16%,0.42%,0.00%,,,,,,,,
8/20/2018,2853.93,2859.76,2850.62,2857.05,0.24%,0.0010%,0.0001%,0.0006%,0.13%,0.20%,-0.12%,0.11%,0.00%,,,,,,,,
8/21/2018,2861.51,2873.23,2861.32,2862.96,0.21%,0.0017%,0.0000%,0.0009%,0.16%,0.41%,-0.01%,0.05%,0.00%,,,,,,,,
8/22/2018,2860.99,2867.54,2856.05,2861.82,-0.04%,0.0016%,0.0000%,0.0008%,-0.07%,0.23%,-0.17%,0.03%,0.00%,,,,,,,,
8/23/2018,2860.29,2868.78,2854.03,2856.98,-0.17%,0.0027%,0.0001%,0.0014%,-0.05%,0.30%,-0.22%,-0.12%,0.00%,,,,,,,,
8/24/2018,2862.35,2876.16,2862.35,2874.69,0.62%,0.0023%,0.0019%,0.0019%,0.19%,0.48%,0.00%,0.43%,0.00%,,,,,,,,
8/27/2018,2884.69,2898.25,2884.69,2896.74,0.77%,0.0022%,0.0017%,0.0018%,0.35%,0.47%,0.00%,0.42%,0.00%,,,,,,,,
8/28/2018,2901.45,2903.77,2893.5,2897.52,0.03%,0.0013%,0.0002%,0.0007%,0.16%,0.08%,-0.27%,-0.14%,0.00%,,,,,,,,
8/29/2018,2900.62,2916.5,2898.4,2914.04,0.57%,0.0039%,0.0021%,0.0028%,0.11%,0.55%,-0.08%,0.46%,0.00%,,,,,,,,
8/30/2018,2908.94,2912.46,2895.22,2901.13,-0.44%,0.0035%,0.0007%,0.0020%,-0.18%,0.12%,-0.47%,-0.27%,0.00%,,,,,,,,
8/31/2018,2898.37,2906.32,2891.73,2901.52,0.01%,0.0025%,0.0001%,0.0013%,-0.10%,0.27%,-0.23%,0.11%,0.00%,,,,,,,,
9/4/2018,2896.96,2900.18,2885.13,2896.72,-0.17%,0.0027%,0.0000%,0.0014%,-0.16%,0.11%,-0.41%,-0.01%,0.00%,,,,,,,,
9/5/2018,2891.59,2894.21,2876.92,2888.6,-0.28%,0.0036%,0.0001%,0.0018%,-0.18%,0.09%,-0.51%,-0.10%,0.00%,,,,,,,,
9/6/2018,2888.64,2892.05,2867.29,2878.05,-0.37%,0.0074%,0.0013%,0.0042%,0.00%,0.12%,-0.74%,-0.37%,0.00%,,,,,,,,
9/7/2018,2868.26,2883.81,2864.12,2871.68,-0.22%,0.0047%,0.0001%,0.0024%,-0.34%,0.54%,-0.14%,0.12%,0.00%,,,,,,,,
9/10/2018,2881.39,2886.93,2875.94,2877.13,0.19%,0.0015%,0.0002%,0.0008%,0.34%,0.19%,-0.19%,-0.15%,0.00%,,,,,,,,
9/11/2018,2871.57,2892.52,2866.78,2887.89,0.37%,0.0080%,0.0032%,0.0052%,-0.19%,0.73%,-0.17%,0.57%,0.00%,,,,,,,,
9/12/2018,2888.29,2894.65,2879.2,2888.92,0.04%,0.0029%,0.0000%,0.0014%,0.01%,0.22%,-0.32%,0.02%,0.00%,,,,,,,,
9/13/2018,2896.85,2906.76,2896.39,2904.18,0.53%,0.0013%,0.0006%,0.0009%,0.27%,0.34%,-0.02%,0.25%,0.00%,,,,,,,,
9/14/2018,2906.38,2908.3,2895.77,2904.98,0.03%,0.0019%,0.0000%,0.0009%,0.08%,0.07%,-0.37%,-0.05%,0.00%,,,,,,,,
9/17/2018,2903.83,2904.65,2886.16,2888.8,-0.56%,0.0041%,0.0027%,0.0031%,-0.04%,0.03%,-0.61%,-0.52%,0.00%,,,,,,,,
9/18/2018,2890.74,2911.17,2890.43,2904.31,0.54%,0.0051%,0.0022%,0.0034%,0.07%,0.70%,-0.01%,0.47%,0.00%,,,,,,,,
9/19/2018,2906.6,2912.36,2903.82,2907.95,0.13%,0.0009%,0.0000%,0.0004%,0.08%,0.20%,-0.10%,0.05%,0.00%,,,,,,,,
9/20/2018,2919.73,2934.8,2919.73,2930.75,0.78%,0.0027%,0.0014%,0.0019%,0.40%,0.51%,0.00%,0.38%,0.00%,,,,,,,,
9/21/2018,2936.76,2940.91,2927.11,2929.67,-0.04%,0.0022%,0.0006%,0.0013%,0.20%,0.14%,-0.33%,-0.24%,0.00%,,,,,,,,
9/24/2018,2921.83,2923.79,2912.63,2919.37,-0.35%,0.0015%,0.0001%,0.0008%,-0.27%,0.07%,-0.32%,-0.08%,0.00%,,,,,,,,
9/25/2018,2921.75,2923.95,2913.7,2915.56,-0.13%,0.0012%,0.0004%,0.0008%,0.08%,0.08%,-0.28%,-0.21%,0.00%,,,,,,,,
9/26/2018,2916.98,2931.15,2903.28,2905.97,-0.33%,0.0091%,0.0014%,0.0051%,0.05%,0.48%,-0.47%,-0.38%,0.00%,,,,,,,,
9/27/2018,2911.65,2927.22,2909.27,2914,0.28%,0.0038%,0.0001%,0.0019%,0.20%,0.53%,-0.08%,0.08%,0.00%,,,,,,,,
9/28/2018,2910.03,2920.53,2907.5,2913.98,0.00%,0.0020%,0.0002%,0.0011%,-0.14%,0.36%,-0.09%,0.14%,0.00%,,,,,,,,
10/1/2018,2926.29,2937.06,2917.91,2924.59,0.36%,0.0043%,0.0000%,0.0022%,0.42%,0.37%,-0.29%,-0.06%,0.00%,,,,,,,,
10/2/2018,2923.8,2931.42,2919.37,2923.43,-0.04%,0.0017%,0.0000%,0.0008%,-0.03%,0.26%,-0.15%,-0.01%,0.00%,,,,,,,,
10/3/2018,2931.69,2939.86,2921.36,2925.51,0.07%,0.0040%,0.0004%,0.0022%,0.28%,0.28%,-0.35%,-0.21%,0.00%,,,,,,,,
10/4/2018,2919.35,2919.78,2883.92,2901.61,-0.82%,0.0153%,0.0037%,0.0091%,-0.21%,0.01%,-1.22%,-0.61%,0.01%,,,,,,,,
10/5/2018,2902.54,2909.64,2869.29,2885.57,-0.55%,0.0195%,0.0034%,0.0111%,0.03%,0.24%,-1.15%,-0.59%,0.01%,,,,,,,,
10/8/2018,2877.53,2889.45,2862.08,2884.43,-0.04%,0.0091%,0.0006%,0.0048%,-0.28%,0.41%,-0.54%,0.24%,0.00%,,,,,,,,
10/9/2018,2882.51,2894.83,2874.27,2880.34,-0.14%,0.0051%,0.0001%,0.0026%,-0.07%,0.43%,-0.29%,-0.08%,0.00%,,,,,,,,
10/10/2018,2873.9,2874.02,2784.86,2785.68,-3.29%,0.0993%,0.0972%,0.0872%,-0.22%,0.00%,-3.15%,-3.12%,0.00%,,,,,,,,
10/11/2018,2776.87,2795.14,2710.51,2728.37,-2.06%,0.0945%,0.0310%,0.0593%,-0.32%,0.66%,-2.42%,-1.76%,0.03%,,,,,,,,
10/12/2018,2770.54,2775.77,2729.44,2767.13,1.42%,0.0283%,0.0002%,0.0142%,1.53%,0.19%,-1.49%,-0.12%,0.02%,,,,,,,,
10/15/2018,2763.83,2775.99,2749.03,2750.79,-0.59%,0.0095%,0.0022%,0.0056%,-0.12%,0.44%,-0.54%,-0.47%,0.00%,,,,,,,,
10/16/2018,2767.05,2813.46,2766.91,2809.92,2.15%,0.0278%,0.0236%,0.0230%,0.59%,1.66%,-0.01%,1.54%,0.00%,,,,,,,,
10/17/2018,2811.67,2816.94,2781.81,2809.21,-0.03%,0.0157%,0.0001%,0.0079%,0.06%,0.19%,-1.07%,-0.09%,0.01%,,,,,,,,
10/18/2018,2802,2806.04,2755.18,2768.78,-1.44%,0.0335%,0.0142%,0.0222%,-0.26%,0.14%,-1.69%,-1.19%,0.01%,,,,,,,,
10/19/2018,2775.66,2797.77,2760.27,2767.78,-0.04%,0.0182%,0.0008%,0.0094%,0.25%,0.79%,-0.56%,-0.28%,0.01%,,,,,,,,
10/22/2018,2773.94,2778.94,2749.22,2755.88,-0.43%,0.0116%,0.0043%,0.0074%,0.22%,0.18%,-0.90%,-0.65%,0.00%,,,,,,,,
10/23/2018,2721.03,2753.59,2691.43,2740.69,-0.55%,0.0521%,0.0052%,0.0281%,-1.27%,1.19%,-1.09%,0.72%,0.03%,,,,,,,,
10/24/2018,2737.87,2742.59,2651.89,2656.1,-3.09%,0.1131%,0.0919%,0.0921%,-0.10%,0.17%,-3.19%,-3.03%,0.01%,,,,,,,,
10/25/2018,2674.88,2722.7,2667.84,2705.57,1.86%,0.0414%,0.0130%,0.0257%,0.70%,1.77%,-0.26%,1.14%,0.01%,,,,,,,,
10/26/2018,2667.86,2692.38,2628.16,2658.69,-1.73%,0.0583%,0.0012%,0.0296%,-1.40%,0.91%,-1.50%,-0.34%,0.03%,,,,,,,,
10/29/2018,2682.65,2706.85,2603.54,2641.25,-0.66%,0.1514%,0.0242%,0.0851%,0.90%,0.90%,-2.99%,-1.56%,0.07%,,,,,,,,
10/30/2018,2640.68,2685.43,2635.34,2682.63,1.57%,0.0355%,0.0248%,0.0273%,-0.02%,1.68%,-0.20%,1.58%,0.01%,,,,,,,,
10/31/2018,2705.6,2736.69,2705.6,2711.74,1.09%,0.0131%,0.0005%,0.0067%,0.85%,1.14%,0.00%,0.23%,0.01%,,,,,,,,
11/1/2018,2717.58,2741.67,2708.85,2740.37,1.06%,0.0145%,0.0070%,0.0099%,0.22%,0.88%,-0.32%,0.84%,0.00%,,,,,,,,
11/2/2018,2745.45,2756.55,2700.44,2723.06,-0.63%,0.0423%,0.0067%,0.0237%,0.19%,0.40%,-1.65%,-0.82%,0.02%,,,,,,,,
11/5/2018,2726.37,2744.27,2717.94,2738.31,0.56%,0.0093%,0.0019%,0.0054%,0.12%,0.65%,-0.31%,0.44%,0.00%,,,,,,,,
11/6/2018,2738.4,2756.82,2737.08,2755.45,0.63%,0.0052%,0.0039%,0.0041%,0.00%,0.67%,-0.05%,0.62%,0.00%,,,,,,,,
11/7/2018,2774.13,2815.15,2774.13,2813.89,2.12%,0.0215%,0.0203%,0.0186%,0.68%,1.47%,0.00%,1.42%,0.00%,,,,,,,,
11/8/2018,2806.38,2814.75,2794.99,2806.83,-0.25%,0.0050%,0.0000%,0.0025%,-0.27%,0.30%,-0.41%,0.02%,0.00%,,,,,,,,
11/9/2018,2794.1,2794.1,2764.24,2781.01,-0.92%,0.0115%,0.0022%,0.0066%,-0.45%,0.00%,-1.07%,-0.47%,0.01%,,,,,,,,
11/12/2018,2773.93,2775.99,2722,2726.22,-1.97%,0.0386%,0.0301%,0.0309%,-0.25%,0.07%,-1.89%,-1.73%,0.00%,,,,,,,,
11/13/2018,2730.05,2754.6,2714.98,2722.18,-0.15%,0.0210%,0.0008%,0.0108%,0.14%,0.90%,-0.55%,-0.29%,0.01%,,,,,,,,
